,0,1,2,3,4,5,6,7,8,9,10,11
33,<ANN.ANN object at 0x11631A50>,0.905277874868927,<ANN.ANN object at 0x11631A50>,0.9443085168356052,ANN,adam,relu,constant,1700,0.0001,0.0009,"(100, 90, 80, 70)"
34,<ANN.ANN object at 0x11631AD0>,0.9203075847605732,<ANN.ANN object at 0x11631AD0>,0.9233368286147035,ANN,adam,relu,constant,1700,0.0001,1e-05,"(100, 90)"
35,<ANN.ANN object at 0x116316D0>,0.9101712687871374,<ANN.ANN object at 0x116316D0>,0.9398811604334149,ANN,adam,relu,constant,1700,0.0001,1e-05,"(100, 90, 80, 70)"
36,<ANN.ANN object at 0x11631B50>,0.9017825934987767,<ANN.ANN object at 0x11631B50>,0.9446580449726203,ANN,adam,relu,constant,2700,0.001,0.0001,"(100, 90)"
37,<ANN.ANN object at 0x11631C50>,0.9000349528137015,<ANN.ANN object at 0x11631C50>,0.9458231387626704,ANN,adam,relu,constant,2700,0.001,0.0001,"(100, 90, 80, 70)"
38,<ANN.ANN object at 0x11631BD0>,0.9143656064313177,<ANN.ANN object at 0x11631BD0>,0.9385995572643597,ANN,adam,relu,constant,2700,0.001,0.0009,"(100, 90)"
39,<ANN.ANN object at 0x11631D50>,0.9070255155540021,<ANN.ANN object at 0x11631D50>,0.9466387044157054,ANN,adam,relu,constant,2700,0.001,0.0009,"(100, 90, 80, 70)"
40,<ANN.ANN object at 0x11631CD0>,0.9154141908423629,<ANN.ANN object at 0x11631CD0>,0.9351042758942095,ANN,adam,relu,constant,2700,0.001,1e-05,"(100, 90)"
41,<ANN.ANN object at 0x11631E50>,0.9066759874169871,<ANN.ANN object at 0x11631E50>,0.9455901200046604,ANN,adam,relu,constant,2700,0.001,1e-05,"(100, 90, 80, 70)"
42,<ANN.ANN object at 0x11631ED0>,0.8982873121286263,<ANN.ANN object at 0x11631ED0>,0.9443085168356052,ANN,adam,relu,constant,2700,0.01,0.0001,"(100, 90)"
43,<ANN.ANN object at 0x11631DD0>,0.9129674938832576,<ANN.ANN object at 0x11631DD0>,0.9341722008621695,ANN,adam,relu,constant,2700,0.01,0.0001,"(100, 90, 80, 70)"
44,<ANN.ANN object at 0x11631F50>,0.9070255155540021,<ANN.ANN object at 0x11631F50>,0.9450075731096353,ANN,adam,relu,constant,2700,0.01,0.0009,"(100, 90)"
45,<ANN.ANN object at 0x11655030>,0.9073750436910172,<ANN.ANN object at 0x11655030>,0.9425608761505301,ANN,adam,relu,constant,2700,0.01,0.0009,"(100, 90, 80, 70)"
46,<ANN.ANN object at 0x116550F0>,0.8951415588954911,<ANN.ANN object at 0x116550F0>,0.9464056856576955,ANN,adam,relu,constant,2700,0.01,1e-05,"(100, 90)"
47,<ANN.ANN object at 0x11655170>,0.9133170220202727,<ANN.ANN object at 0x11655170>,0.9389490854013748,ANN,adam,relu,constant,2700,0.01,1e-05,"(100, 90, 80, 70)"
48,<ANN.ANN object at 0x116551F0>,0.9203075847605732,<ANN.ANN object at 0x116551F0>,0.9240358848887336,ANN,adam,relu,constant,2700,0.0001,0.0001,"(100, 90)"
49,<ANN.ANN object at 0x11655070>,0.9080740999650472,<ANN.ANN object at 0x11655070>,0.9430269136665501,ANN,adam,relu,constant,2700,0.0001,0.0001,"(100, 90, 80, 70)"
50,<ANN.ANN object at 0x11655270>,0.9189094722125131,<ANN.ANN object at 0x11655270>,0.9250844692997786,ANN,adam,relu,constant,2700,0.0001,0.0009,"(100, 90)"
51,<ANN.ANN object at 0x116552F0>,0.9129674938832576,<ANN.ANN object at 0x116552F0>,0.9338226727251544,ANN,adam,relu,constant,2700,0.0001,0.0009,"(100, 90, 80, 70)"
52,<ANN.ANN object at 0x116553F0>,0.9192590003495281,<ANN.ANN object at 0x116553F0>,0.9254339974367937,ANN,adam,relu,constant,2700,0.0001,1e-05,"(100, 90)"
53,<ANN.ANN object at 0x11655470>,0.9105207969241524,<ANN.ANN object at 0x11655470>,0.941046254223465,ANN,adam,relu,constant,2700,0.0001,1e-05,"(100, 90, 80, 70)"
54,<ANN.ANN object at 0x116554F0>,0.9147151345683328,<ANN.ANN object at 0x116554F0>,0.94116276360247,ANN,adam,relu,constant,3700,0.001,0.0001,"(100, 90)"
55,<ANN.ANN object at 0x11655370>,0.9098217406501223,<ANN.ANN object at 0x11655370>,0.9465221950367004,ANN,adam,relu,constant,3700,0.001,0.0001,"(100, 90, 80, 70)"
56,<ANN.ANN object at 0x11655570>,0.9087731562390773,<ANN.ANN object at 0x11655570>,0.9398811604334149,ANN,adam,relu,constant,3700,0.001,0.0009,"(100, 90)"
57,<ANN.ANN object at 0x11655670>,0.905976931142957,<ANN.ANN object at 0x11655670>,0.9468717231737155,ANN,adam,relu,constant,3700,0.001,0.0009,"(100, 90, 80, 70)"
58,<ANN.ANN object at 0x116555F0>,0.905976931142957,<ANN.ANN object at 0x116555F0>,0.9441920074566003,ANN,adam,relu,constant,3700,0.001,1e-05,"(100, 90)"
59,<ANN.ANN object at 0x11655770>,0.9021321216357917,<ANN.ANN object at 0x11655770>,0.9452405918676453,ANN,adam,relu,constant,3700,0.001,1e-05,"(100, 90, 80, 70)"
60,<ANN.ANN object at 0x116556F0>,0.9105207969241524,<ANN.ANN object at 0x116556F0>,0.9425608761505301,ANN,adam,relu,constant,3700,0.01,0.0001,"(100, 90)"
61,<ANN.ANN object at 0x11655870>,0.9073750436910172,<ANN.ANN object at 0x11655870>,0.9406967260864499,ANN,adam,relu,constant,3700,0.01,0.0001,"(100, 90, 80, 70)"
62,<ANN.ANN object at 0x116558F0>,0.9080740999650472,<ANN.ANN object at 0x116558F0>,0.9387160666433648,ANN,adam,relu,constant,3700,0.01,0.0009,"(100, 90)"
63,<ANN.ANN object at 0x116557F0>,0.9010835372247465,<ANN.ANN object at 0x116557F0>,0.94139578236048,ANN,adam,relu,constant,3700,0.01,0.0009,"(100, 90, 80, 70)"
64,<ANN.ANN object at 0x11655970>,0.9122684376092275,<ANN.ANN object at 0x11655970>,0.9439589886985902,ANN,adam,relu,constant,3700,0.01,1e-05,"(100, 90)"
65,<ANN.ANN object at 0x11655A70>,0.8993358965396715,<ANN.ANN object at 0x11655A70>,0.9448910637306304,ANN,adam,relu,constant,3700,0.01,1e-05,"(100, 90, 80, 70)"
66,<ANN.ANN object at 0x11655AF0>,0.9161132471163929,<ANN.ANN object at 0x11655AF0>,0.9275311662588839,ANN,adam,relu,constant,3700,0.0001,0.0001,"(100, 90)"
67,<ANN.ANN object at 0x116559F0>,0.9112198531981824,<ANN.ANN object at 0x116559F0>,0.9360363509262496,ANN,adam,relu,constant,3700,0.0001,0.0001,"(100, 90, 80, 70)"
68,<ANN.ANN object at 0x11655BF0>,0.9203075847605732,<ANN.ANN object at 0x11655BF0>,0.9249679599207736,ANN,adam,relu,constant,3700,0.0001,0.0009,"(100, 90)"
69,<ANN.ANN object at 0x11655B70>,0.9105207969241524,<ANN.ANN object at 0x11655B70>,0.941046254223465,ANN,adam,relu,constant,3700,0.0001,0.0009,"(100, 90, 80, 70)"
70,<ANN.ANN object at 0x11655CF0>,0.9203075847605732,<ANN.ANN object at 0x11655CF0>,0.9248514505417686,ANN,adam,relu,constant,3700,0.0001,1e-05,"(100, 90)"
71,<ANN.ANN object at 0x11655C70>,0.9084236281020622,<ANN.ANN object at 0x11655C70>,0.94162880111849,ANN,adam,relu,constant,3700,0.0001,1e-05,"(100, 90, 80, 70)"
72,<ANN.ANN object at 0x11655D70>,0.9119189094722125,<ANN.ANN object at 0x11655D70>,0.9388325760223698,ANN,adam,relu,constant,4700,0.001,0.0001,"(100, 90)"
73,<ANN.ANN object at 0x11655E70>,0.8993358965396715,<ANN.ANN object at 0x11655E70>,0.9464056856576955,ANN,adam,relu,constant,4700,0.001,0.0001,"(100, 90, 80, 70)"
74,<ANN.ANN object at 0x11655EF0>,0.906326459279972,<ANN.ANN object at 0x11655EF0>,0.9418618198765001,ANN,adam,relu,constant,4700,0.001,0.0009,"(100, 90)"
75,<ANN.ANN object at 0x11655DF0>,0.9049283467319119,<ANN.ANN object at 0x11655DF0>,0.9459396481416754,ANN,adam,relu,constant,4700,0.001,0.0009,"(100, 90, 80, 70)"
76,<ANN.ANN object at 0x16B3F030>,0.9105207969241524,<ANN.ANN object at 0x16B3F030>,0.9394151229173948,ANN,adam,relu,constant,4700,0.001,1e-05,"(100, 90)"
77,<ANN.ANN object at 0x16B3F070>,0.9101712687871374,<ANN.ANN object at 0x16B3F070>,0.9441920074566003,ANN,adam,relu,constant,4700,0.001,1e-05,"(100, 90, 80, 70)"
78,<ANN.ANN object at 0x16B3F110>,0.9021321216357917,<ANN.ANN object at 0x16B3F110>,0.9426773855295352,ANN,adam,relu,constant,4700,0.01,0.0001,"(100, 90)"
79,<ANN.ANN object at 0x16B3F090>,0.9010835372247465,<ANN.ANN object at 0x16B3F090>,0.9419783292555051,ANN,adam,relu,constant,4700,0.01,0.0001,"(100, 90, 80, 70)"
80,<ANN.ANN object at 0x16B3F210>,0.9045788185948969,<ANN.ANN object at 0x16B3F210>,0.9423278573925201,ANN,adam,relu,constant,4700,0.01,0.0009,"(100, 90)"
81,<ANN.ANN object at 0x16B3F290>,0.9091226843760922,<ANN.ANN object at 0x16B3F290>,0.94116276360247,ANN,adam,relu,constant,4700,0.01,0.0009,"(100, 90, 80, 70)"
82,<ANN.ANN object at 0x16B3F310>,0.9035302341838518,<ANN.ANN object at 0x16B3F310>,0.9448910637306304,ANN,adam,relu,constant,4700,0.01,1e-05,"(100, 90)"
83,<ANN.ANN object at 0x16B3F390>,0.9091226843760922,<ANN.ANN object at 0x16B3F390>,0.9396481416754049,ANN,adam,relu,constant,4700,0.01,1e-05,"(100, 90, 80, 70)"
84,<ANN.ANN object at 0x16B3F190>,0.917511359664453,<ANN.ANN object at 0x16B3F190>,0.9262495630898288,ANN,adam,relu,constant,4700,0.0001,0.0001,"(100, 90)"
85,<ANN.ANN object at 0x16B3F410>,0.9101712687871374,<ANN.ANN object at 0x16B3F410>,0.9394151229173948,ANN,adam,relu,constant,4700,0.0001,0.0001,"(100, 90, 80, 70)"
86,<ANN.ANN object at 0x16B3F510>,0.917860887801468,<ANN.ANN object at 0x16B3F510>,0.9253174880577887,ANN,adam,relu,constant,4700,0.0001,0.0009,"(100, 90)"
87,<ANN.ANN object at 0x16B3F590>,0.9087731562390773,<ANN.ANN object at 0x16B3F590>,0.94162880111849,ANN,adam,relu,constant,4700,0.0001,0.0009,"(100, 90, 80, 70)"
88,<ANN.ANN object at 0x16B3F490>,0.9171618315274379,<ANN.ANN object at 0x16B3F490>,0.9282302225329139,ANN,adam,relu,constant,4700,0.0001,1e-05,"(100, 90)"
89,<ANN.ANN object at 0x16B3F690>,0.9122684376092275,<ANN.ANN object at 0x16B3F690>,0.9366188978212746,ANN,adam,relu,constant,4700,0.0001,1e-05,"(100, 90, 80, 70)"
