,0,1,2,3,4,5,6,7
34,<KNN.KNN object at 0x108780850>,0.924501922,<KNN.KNN object at 0x108780850>,0.921472679,KNN,5,uniform,kd_tree
0,<Dtree.Dtree object at 0x10875e710>,0.92869626,<Dtree.Dtree object at 0x10875e710>,0.920890132,Dtree,gini,best,5
8,<Dtree.Dtree object at 0x10875eb10>,0.92869626,<Dtree.Dtree object at 0x10875eb10>,0.920890132,Dtree,gini,random,5
16,<Dtree.Dtree object at 0x10875ef10>,0.92869626,<Dtree.Dtree object at 0x10875ef10>,0.920773622,Dtree,entropy,best,5
24,<Dtree.Dtree object at 0x108780350>,0.92869626,<Dtree.Dtree object at 0x108780350>,0.920773622,Dtree,entropy,random,5
40,<KNN.KNN object at 0x108780990>,0.929395316,<KNN.KNN object at 0x108780990>,0.920424094,KNN,10,uniform,auto
41,<KNN.KNN object at 0x108780a10>,0.929395316,<KNN.KNN object at 0x108780a10>,0.920424094,KNN,10,uniform,ball_tree
42,<KNN.KNN object at 0x108780a90>,0.929395316,<KNN.KNN object at 0x108780a90>,0.920424094,KNN,10,uniform,kd_tree
48,<KNN.KNN object at 0x108780d90>,0.929395316,<KNN.KNN object at 0x108780d90>,0.920424094,KNN,15,uniform,auto
49,<KNN.KNN object at 0x108780e10>,0.929395316,<KNN.KNN object at 0x108780e10>,0.920424094,KNN,15,uniform,ball_tree
50,<KNN.KNN object at 0x108780e90>,0.929395316,<KNN.KNN object at 0x108780e90>,0.920424094,KNN,15,uniform,kd_tree
51,<KNN.KNN object at 0x108780f10>,0.929395316,<KNN.KNN object at 0x108780f10>,0.920424094,KNN,15,uniform,brute
56,<KNN.KNN object at 0x1090211d0>,0.929395316,<KNN.KNN object at 0x1090211d0>,0.920424094,KNN,20,uniform,auto
57,<KNN.KNN object at 0x109021250>,0.929395316,<KNN.KNN object at 0x109021250>,0.920424094,KNN,20,uniform,ball_tree
58,<KNN.KNN object at 0x1090212d0>,0.929395316,<KNN.KNN object at 0x1090212d0>,0.920424094,KNN,20,uniform,kd_tree
59,<KNN.KNN object at 0x109021350>,0.929395316,<KNN.KNN object at 0x109021350>,0.920424094,KNN,20,uniform,brute
64,<LogR.LogR object at 0x10875e6d0>,0.929395316,<LogR.LogR object at 0x10875e6d0>,0.920424094,LogR,newton-cg,1,
65,<LogR.LogR object at 0x1030a0610>,0.929395316,<LogR.LogR object at 0x1030a0610>,0.920424094,LogR,newton-cg,101,
66,<LogR.LogR object at 0x1090218d0>,0.929395316,<LogR.LogR object at 0x1090218d0>,0.920424094,LogR,newton-cg,201,
67,<LogR.LogR object at 0x1090219d0>,0.929395316,<LogR.LogR object at 0x1090219d0>,0.920424094,LogR,newton-cg,301,
68,<LogR.LogR object at 0x109021ad0>,0.929395316,<LogR.LogR object at 0x109021ad0>,0.920424094,LogR,newton-cg,401,
69,<LogR.LogR object at 0x109021bd0>,0.929395316,<LogR.LogR object at 0x109021bd0>,0.920424094,LogR,newton-cg,501,
70,<LogR.LogR object at 0x109021cd0>,0.929395316,<LogR.LogR object at 0x109021cd0>,0.920424094,LogR,lbfgs,1,
71,<LogR.LogR object at 0x109021dd0>,0.929395316,<LogR.LogR object at 0x109021dd0>,0.920424094,LogR,lbfgs,101,
72,<LogR.LogR object at 0x109021ed0>,0.929395316,<LogR.LogR object at 0x109021ed0>,0.920424094,LogR,lbfgs,201,
73,<LogR.LogR object at 0x109021fd0>,0.929395316,<LogR.LogR object at 0x109021fd0>,0.920424094,LogR,lbfgs,301,
74,<LogR.LogR object at 0x109021c10>,0.929395316,<LogR.LogR object at 0x109021c10>,0.920424094,LogR,lbfgs,401,
75,<LogR.LogR object at 0x109021a10>,0.929395316,<LogR.LogR object at 0x109021a10>,0.920424094,LogR,lbfgs,501,
76,<LogR.LogR object at 0x109021810>,0.929395316,<LogR.LogR object at 0x109021810>,0.920424094,LogR,liblinear,1,
77,<LogR.LogR object at 0x109021910>,0.929395316,<LogR.LogR object at 0x109021910>,0.920424094,LogR,liblinear,101,
78,<LogR.LogR object at 0x109021790>,0.929395316,<LogR.LogR object at 0x109021790>,0.920424094,LogR,liblinear,201,
79,<LogR.LogR object at 0x1090217d0>,0.929395316,<LogR.LogR object at 0x1090217d0>,0.920424094,LogR,liblinear,301,
80,<LogR.LogR object at 0x1030a0510>,0.929395316,<LogR.LogR object at 0x1030a0510>,0.920424094,LogR,liblinear,401,
81,<LogR.LogR object at 0x109037050>,0.929395316,<LogR.LogR object at 0x109037050>,0.920424094,LogR,liblinear,501,
82,<LogR.LogR object at 0x1090370d0>,0.929395316,<LogR.LogR object at 0x1090370d0>,0.920424094,LogR,sag,1,
83,<LogR.LogR object at 0x109037310>,0.929395316,<LogR.LogR object at 0x109037310>,0.920424094,LogR,sag,101,
84,<LogR.LogR object at 0x109037410>,0.929395316,<LogR.LogR object at 0x109037410>,0.920424094,LogR,sag,201,
85,<LogR.LogR object at 0x109037ad0>,0.929395316,<LogR.LogR object at 0x109037ad0>,0.920424094,LogR,sag,301,
86,<LogR.LogR object at 0x109037bd0>,0.929395316,<LogR.LogR object at 0x109037bd0>,0.920424094,LogR,sag,401,
87,<LogR.LogR object at 0x109037cd0>,0.929395316,<LogR.LogR object at 0x109037cd0>,0.920424094,LogR,sag,501,
88,<LogR.LogR object at 0x109037dd0>,0.929395316,<LogR.LogR object at 0x109037dd0>,0.920424094,LogR,saga,1,
89,<LogR.LogR object at 0x109037ed0>,0.929395316,<LogR.LogR object at 0x109037ed0>,0.920424094,LogR,saga,101,
90,<LogR.LogR object at 0x109037fd0>,0.929395316,<LogR.LogR object at 0x109037fd0>,0.920424094,LogR,saga,201,
91,<LogR.LogR object at 0x1090371d0>,0.929395316,<LogR.LogR object at 0x1090371d0>,0.920424094,LogR,saga,301,
92,<LogR.LogR object at 0x109043210>,0.929395316,<LogR.LogR object at 0x109043210>,0.920424094,LogR,saga,401,
93,<LogR.LogR object at 0x109043310>,0.929395316,<LogR.LogR object at 0x109043310>,0.920424094,LogR,saga,501,
43,<KNN.KNN object at 0x108780b10>,0.929045788,<KNN.KNN object at 0x108780b10>,0.920424094,KNN,10,uniform,brute
