,0,1,2,3,4,5,6
0,<LogR.LogR object at 0x109961610>,0.9203075847605732,<LogR.LogR object at 0x109961610>,0.9234533379937085,LogR,newton-cg,1
1,<LogR.LogR object at 0x1007bd910>,0.9203075847605732,<LogR.LogR object at 0x1007bd910>,0.9234533379937085,LogR,newton-cg,101
2,<LogR.LogR object at 0x1007bd810>,0.9203075847605732,<LogR.LogR object at 0x1007bd810>,0.9234533379937085,LogR,newton-cg,201
3,<LogR.LogR object at 0x109961510>,0.9203075847605732,<LogR.LogR object at 0x109961510>,0.9234533379937085,LogR,newton-cg,301
4,<LogR.LogR object at 0x109961310>,0.9203075847605732,<LogR.LogR object at 0x109961310>,0.9234533379937085,LogR,newton-cg,401
5,<LogR.LogR object at 0x109961a10>,0.9203075847605732,<LogR.LogR object at 0x109961a10>,0.9234533379937085,LogR,newton-cg,501
6,<LogR.LogR object at 0x109961b10>,0.9203075847605732,<LogR.LogR object at 0x109961b10>,0.9234533379937085,LogR,lbfgs,1
7,<LogR.LogR object at 0x109961c10>,0.9203075847605732,<LogR.LogR object at 0x109961c10>,0.9234533379937085,LogR,lbfgs,101
8,<LogR.LogR object at 0x109961d10>,0.9203075847605732,<LogR.LogR object at 0x109961d10>,0.9234533379937085,LogR,lbfgs,201
9,<LogR.LogR object at 0x109961e10>,0.9203075847605732,<LogR.LogR object at 0x109961e10>,0.9234533379937085,LogR,lbfgs,301
10,<LogR.LogR object at 0x109961f10>,0.9203075847605732,<LogR.LogR object at 0x109961f10>,0.9234533379937085,LogR,lbfgs,401
11,<LogR.LogR object at 0x109961fd0>,0.9203075847605732,<LogR.LogR object at 0x109961fd0>,0.9234533379937085,LogR,lbfgs,501
12,<LogR.LogR object at 0x109961f50>,0.9203075847605732,<LogR.LogR object at 0x109961f50>,0.9234533379937085,LogR,liblinear,1
13,<LogR.LogR object at 0x109985150>,0.9203075847605732,<LogR.LogR object at 0x109985150>,0.9234533379937085,LogR,liblinear,101
14,<LogR.LogR object at 0x1099850d0>,0.9203075847605732,<LogR.LogR object at 0x1099850d0>,0.9234533379937085,LogR,liblinear,201
15,<LogR.LogR object at 0x109985190>,0.9203075847605732,<LogR.LogR object at 0x109985190>,0.9234533379937085,LogR,liblinear,301
16,<LogR.LogR object at 0x109985210>,0.9203075847605732,<LogR.LogR object at 0x109985210>,0.9234533379937085,LogR,liblinear,401
17,<LogR.LogR object at 0x109985290>,0.9203075847605732,<LogR.LogR object at 0x109985290>,0.9234533379937085,LogR,liblinear,501
18,<LogR.LogR object at 0x109985310>,0.9203075847605732,<LogR.LogR object at 0x109985310>,0.9234533379937085,LogR,sag,1
19,<LogR.LogR object at 0x109985550>,0.9203075847605732,<LogR.LogR object at 0x109985550>,0.9234533379937085,LogR,sag,101
20,<LogR.LogR object at 0x109985650>,0.9203075847605732,<LogR.LogR object at 0x109985650>,0.9234533379937085,LogR,sag,201
21,<LogR.LogR object at 0x109985d10>,0.9203075847605732,<LogR.LogR object at 0x109985d10>,0.9234533379937085,LogR,sag,301
22,<LogR.LogR object at 0x109985e10>,0.9203075847605732,<LogR.LogR object at 0x109985e10>,0.9234533379937085,LogR,sag,401
23,<LogR.LogR object at 0x109985f10>,0.9203075847605732,<LogR.LogR object at 0x109985f10>,0.9234533379937085,LogR,sag,501
24,<LogR.LogR object at 0x109985fd0>,0.9203075847605732,<LogR.LogR object at 0x109985fd0>,0.9234533379937085,LogR,saga,1
25,<LogR.LogR object at 0x109985f50>,0.9203075847605732,<LogR.LogR object at 0x109985f50>,0.9234533379937085,LogR,saga,101
26,<LogR.LogR object at 0x10998f250>,0.9203075847605732,<LogR.LogR object at 0x10998f250>,0.9234533379937085,LogR,saga,201
27,<LogR.LogR object at 0x10998f350>,0.9203075847605732,<LogR.LogR object at 0x10998f350>,0.9234533379937085,LogR,saga,301
28,<LogR.LogR object at 0x10998f450>,0.9203075847605732,<LogR.LogR object at 0x10998f450>,0.9234533379937085,LogR,saga,401
29,<LogR.LogR object at 0x10998f550>,0.9203075847605732,<LogR.LogR object at 0x10998f550>,0.9234533379937085,LogR,saga,501
