,0
60,"['ANN', 'adam', 'relu', 'constant', 6700, 0.001, 0.0001, (100, 90, 80, 70)]"
61,"['ANN', 'adam', 'relu', 'constant', 6800, 0.001, 0.0001, (100, 90, 80, 70)]"
62,"['ANN', 'adam', 'relu', 'constant', 6900, 0.001, 0.0001, (100, 90, 80, 70)]"
63,"['ANN', 'adam', 'relu', 'constant', 7000, 0.001, 0.0001, (100, 90, 80, 70)]"
64,"['ANN', 'adam', 'relu', 'constant', 7100, 0.001, 0.0001, (100, 90, 80, 70)]"
65,"['ANN', 'adam', 'relu', 'constant', 7200, 0.001, 0.0001, (100, 90, 80, 70)]"
66,"['ANN', 'adam', 'relu', 'constant', 7300, 0.001, 0.0001, (100, 90, 80, 70)]"
67,"['ANN', 'adam', 'relu', 'constant', 7400, 0.001, 0.0001, (100, 90, 80, 70)]"
68,"['ANN', 'adam', 'relu', 'constant', 7500, 0.001, 0.0001, (100, 90, 80, 70)]"
69,"['ANN', 'adam', 'relu', 'constant', 7600, 0.001, 0.0001, (100, 90, 80, 70)]"
70,"['ANN', 'adam', 'relu', 'constant', 7700, 0.001, 0.0001, (100, 90, 80, 70)]"
71,"['ANN', 'adam', 'relu', 'constant', 7800, 0.001, 0.0001, (100, 90, 80, 70)]"
72,"['ANN', 'adam', 'relu', 'constant', 7900, 0.001, 0.0001, (100, 90, 80, 70)]"
73,"['ANN', 'adam', 'relu', 'constant', 8000, 0.001, 0.0001, (100, 90, 80, 70)]"
74,"['ANN', 'adam', 'relu', 'constant', 8100, 0.001, 0.0001, (100, 90, 80, 70)]"
75,"['ANN', 'adam', 'relu', 'constant', 8200, 0.001, 0.0001, (100, 90, 80, 70)]"
76,"['ANN', 'adam', 'relu', 'constant', 8300, 0.001, 0.0001, (100, 90, 80, 70)]"
77,"['ANN', 'adam', 'relu', 'constant', 8400, 0.001, 0.0001, (100, 90, 80, 70)]"
78,"['ANN', 'adam', 'relu', 'constant', 8500, 0.001, 0.0001, (100, 90, 80, 70)]"
79,"['ANN', 'adam', 'relu', 'constant', 8600, 0.001, 0.0001, (100, 90, 80, 70)]"
80,"['ANN', 'adam', 'relu', 'constant', 8700, 0.001, 0.0001, (100, 90, 80, 70)]"
81,"['ANN', 'adam', 'relu', 'constant', 8800, 0.001, 0.0001, (100, 90, 80, 70)]"
82,"['ANN', 'adam', 'relu', 'constant', 8900, 0.001, 0.0001, (100, 90, 80, 70)]"
83,"['ANN', 'adam', 'relu', 'constant', 9000, 0.001, 0.0001, (100, 90, 80, 70)]"
84,"['ANN', 'adam', 'relu', 'constant', 9100, 0.001, 0.0001, (100, 90, 80, 70)]"
85,"['ANN', 'adam', 'relu', 'constant', 9200, 0.001, 0.0001, (100, 90, 80, 70)]"
86,"['ANN', 'adam', 'relu', 'constant', 9300, 0.001, 0.0001, (100, 90, 80, 70)]"
87,"['ANN', 'adam', 'relu', 'constant', 9400, 0.001, 0.0001, (100, 90, 80, 70)]"
88,"['ANN', 'adam', 'relu', 'constant', 9500, 0.001, 0.0001, (100, 90, 80, 70)]"
89,"['ANN', 'adam', 'relu', 'constant', 9600, 0.001, 0.0001, (100, 90, 80, 70)]"
90,"['ANN', 'adam', 'relu', 'constant', 9700, 0.001, 0.0001, (100, 90, 80, 70)]"
91,"['ANN', 'adam', 'relu', 'constant', 9800, 0.001, 0.0001, (100, 90, 80, 70)]"
92,"['ANN', 'adam', 'relu', 'constant', 9900, 0.001, 0.0001, (100, 90, 80, 70)]"
93,"['ANN', 'adam', 'relu', 'adaptive', 700, 0.001, 0.0001, (100, 90, 80, 70)]"
94,"['ANN', 'adam', 'relu', 'adaptive', 800, 0.001, 0.0001, (100, 90, 80, 70)]"
95,"['ANN', 'adam', 'relu', 'adaptive', 900, 0.001, 0.0001, (100, 90, 80, 70)]"
96,"['ANN', 'adam', 'relu', 'adaptive', 1000, 0.001, 0.0001, (100, 90, 80, 70)]"
97,"['ANN', 'adam', 'relu', 'adaptive', 1100, 0.001, 0.0001, (100, 90, 80, 70)]"
98,"['ANN', 'adam', 'relu', 'adaptive', 1200, 0.001, 0.0001, (100, 90, 80, 70)]"
99,"['ANN', 'adam', 'relu', 'adaptive', 1300, 0.001, 0.0001, (100, 90, 80, 70)]"
100,"['ANN', 'adam', 'relu', 'adaptive', 1400, 0.001, 0.0001, (100, 90, 80, 70)]"
101,"['ANN', 'adam', 'relu', 'adaptive', 1500, 0.001, 0.0001, (100, 90, 80, 70)]"
102,"['ANN', 'adam', 'relu', 'adaptive', 1600, 0.001, 0.0001, (100, 90, 80, 70)]"
103,"['ANN', 'adam', 'relu', 'adaptive', 1700, 0.001, 0.0001, (100, 90, 80, 70)]"
104,"['ANN', 'adam', 'relu', 'adaptive', 1800, 0.001, 0.0001, (100, 90, 80, 70)]"
105,"['ANN', 'adam', 'relu', 'adaptive', 1900, 0.001, 0.0001, (100, 90, 80, 70)]"
106,"['ANN', 'adam', 'relu', 'adaptive', 2000, 0.001, 0.0001, (100, 90, 80, 70)]"
107,"['ANN', 'adam', 'relu', 'adaptive', 2100, 0.001, 0.0001, (100, 90, 80, 70)]"
108,"['ANN', 'adam', 'relu', 'adaptive', 2200, 0.001, 0.0001, (100, 90, 80, 70)]"
109,"['ANN', 'adam', 'relu', 'adaptive', 2300, 0.001, 0.0001, (100, 90, 80, 70)]"
110,"['ANN', 'adam', 'relu', 'adaptive', 2400, 0.001, 0.0001, (100, 90, 80, 70)]"
111,"['ANN', 'adam', 'relu', 'adaptive', 2500, 0.001, 0.0001, (100, 90, 80, 70)]"
112,"['ANN', 'adam', 'relu', 'adaptive', 2600, 0.001, 0.0001, (100, 90, 80, 70)]"
113,"['ANN', 'adam', 'relu', 'adaptive', 2700, 0.001, 0.0001, (100, 90, 80, 70)]"
