,0,1
0,<ANN.ANN object at 0x1171BDB0>,0.9010835372247465
1,<ANN.ANN object at 0x1171BD90>,0.9021321216357917
2,<ANN.ANN object at 0x1171BE30>,0.8979377839916113
3,<ANN.ANN object at 0x1171BEB0>,0.9003844809507165
4,<ANN.ANN object at 0x1171BE90>,0.9035302341838518
5,<ANN.ANN object at 0x1171BF30>,0.8954910870325061
6,<ANN.ANN object at 0x117DC050>,0.905627403005942
7,<ANN.ANN object at 0x117DC030>,0.8954910870325061
8,<ANN.ANN object at 0x117DC150>,0.905627403005942
9,<ANN.ANN object at 0x117DC1D0>,0.905627403005942
10,<ANN.ANN object at 0x117DC0D0>,0.8919958056623558
11,<ANN.ANN object at 0x117DC250>,0.9000349528137015
12,<ANN.ANN object at 0x117DC350>,0.8912967493883258
13,<ANN.ANN object at 0x117DC2D0>,0.905277874868927
14,<ANN.ANN object at 0x117DC3D0>,0.9070255155540021
15,<ANN.ANN object at 0x117DC450>,0.894792030758476
16,<ANN.ANN object at 0x117DC4D0>,0.9042292904578818
17,<ANN.ANN object at 0x1171BBF0>,0.8996854246766864
18,<ANN.ANN object at 0x1171B930>,0.9112198531981824
19,<ANN.ANN object at 0x1171B910>,0.906326459279972
20,<Dtree.Dtree object at 0x1171BCF0>,0.9171618315274379
21,<Dtree.Dtree object at 0x1171BBB0>,0.9105207969241524
22,<Dtree.Dtree object at 0x1171BAD0>,0.9003844809507165
23,<Dtree.Dtree object at 0x1171B8F0>,0.8982873121286263
24,<Dtree.Dtree object at 0x1171BA70>,0.8982873121286263
25,<Dtree.Dtree object at 0x1171BA30>,0.8979377839916113
26,<Dtree.Dtree object at 0x1171B9F0>,0.8979377839916113
27,<Dtree.Dtree object at 0x1171B9B0>,0.8979377839916113
28,<Dtree.Dtree object at 0x1171B970>,0.9171618315274379
29,<Dtree.Dtree object at 0x1171BB90>,0.9094722125131073
30,<Dtree.Dtree object at 0x1171BD10>,0.8986368402656414
31,<Dtree.Dtree object at 0x117DC6B0>,0.8986368402656414
32,<Dtree.Dtree object at 0x117DC650>,0.8989863684026564
33,<Dtree.Dtree object at 0x117DC6F0>,0.8989863684026564
34,<Dtree.Dtree object at 0x117DC730>,0.8989863684026564
35,<Dtree.Dtree object at 0x117DC770>,0.8989863684026564
36,<Dtree.Dtree object at 0x117DC7B0>,0.916812303390423
37,<Dtree.Dtree object at 0x117DC7F0>,0.9108703250611674
38,<Dtree.Dtree object at 0x117DC830>,0.9035302341838518
39,<Dtree.Dtree object at 0x117DC870>,0.8933939182104159
40,<Dtree.Dtree object at 0x117DC8B0>,0.8951415588954911
41,<Dtree.Dtree object at 0x117DC8F0>,0.894792030758476
42,<Dtree.Dtree object at 0x117DC930>,0.894792030758476
43,<Dtree.Dtree object at 0x117DC970>,0.894792030758476
44,<Dtree.Dtree object at 0x117DC9B0>,0.916812303390423
45,<Dtree.Dtree object at 0x117DC9F0>,0.9108703250611674
46,<Dtree.Dtree object at 0x117DCA30>,0.9003844809507165
47,<Dtree.Dtree object at 0x117DCA70>,0.8954910870325061
48,<Dtree.Dtree object at 0x117DCAB0>,0.8951415588954911
49,<Dtree.Dtree object at 0x117DCAF0>,0.8944425026214611
50,<Dtree.Dtree object at 0x117DCB30>,0.8944425026214611
51,<Dtree.Dtree object at 0x117DCB70>,0.8944425026214611
52,<KNN.KNN object at 0x117DCBB0>,0.9140160782943026
53,<KNN.KNN object at 0x117DCC10>,0.9136665501572877
54,<KNN.KNN object at 0x117DCC50>,0.9140160782943026
55,<KNN.KNN object at 0x117DCC90>,0.9147151345683328
56,<KNN.KNN object at 0x117DCCD0>,0.9101712687871374
57,<KNN.KNN object at 0x117DCD10>,0.9098217406501223
58,<KNN.KNN object at 0x117DCD50>,0.9101712687871374
59,<KNN.KNN object at 0x117DCD90>,0.9119189094722125
60,<KNN.KNN object at 0x117DCDD0>,0.916812303390423
61,<KNN.KNN object at 0x117DCE10>,0.916812303390423
62,<KNN.KNN object at 0x117DCE50>,0.916812303390423
63,<KNN.KNN object at 0x117DCE90>,0.9164627752534079
64,<KNN.KNN object at 0x117DCED0>,0.9119189094722125
65,<KNN.KNN object at 0x117DCF10>,0.9119189094722125
66,<KNN.KNN object at 0x117DCF50>,0.9119189094722125
67,<KNN.KNN object at 0x117DCF90>,0.9122684376092275
68,<KNN.KNN object at 0x117DCFD0>,0.916812303390423
69,<KNN.KNN object at 0x117DCFF0>,0.916812303390423
70,<KNN.KNN object at 0x117DCFB0>,0.916812303390423
71,<KNN.KNN object at 0x117F70B0>,0.916812303390423
72,<KNN.KNN object at 0x117F70F0>,0.9122684376092275
73,<KNN.KNN object at 0x117F7130>,0.9122684376092275
74,<KNN.KNN object at 0x117F7170>,0.9122684376092275
75,<KNN.KNN object at 0x117F71B0>,0.9122684376092275
